仕事内容,対象となる方,勤務地,給与
仕事内容 【日中作業が中心】既存顧客先(法人)の空調設備の定期メンテナンスや修理をお任せ。★スケジュール管理がしやすく、自分のペースで働ける◎,対象となる方 【未経験・第二新卒も大歓迎！】◆要普通免許 ◆学歴・経験や就業ブランクは問いません！★20代の若手が活躍中！異業種出身者も多数活躍しています◎,勤務地 ★転居を伴う転勤なし！ ★U・Iターン歓迎！ ★マイカー・社用車での通勤OK！ ◆本社／大阪府大東…,給与 ◆月給：25万円〜50万円+諸手当 【モデル月収例】 月収80万円／入社3年目・インセンティブ含む ※年齢…
仕事内容 土地をお持ちのオーナー様に対しての「土地活用の提案営業」です。充実の研修・教育体制があるので、未経験からでも全く問題ありません。,対象となる方 ◎高卒以上　◎転職回数は不問　◎非正規雇用の方もOK！さまざまな業界からの転職者が活躍中です。,勤務地 ◆全国の各拠点 自宅近くの拠点での勤務希望を考慮します。 ※Ｉ＆Ｕターン歓迎！ ※各事業所の詳しい…,"給与 月給26万3,000円以上＋諸手当＋業績連動成果給 ※月給は、固定残業代【47時間分（6万9,000円以上）】を含…"
仕事内容 【入社2ヶ月で80万円超/20代で月収100万円を手にする先輩も活躍中】自社オリジナル塗料の住宅ペイントや太陽光発電システムの提案営業を担当します。,対象となる方 【学歴・年齢・これまでの経験は一切不問です！】◎経験ゼロから稼げる営業に成長したい方、転職で人生を変えたい方は、ぜひチャレンジを！,勤務地 《WEB面接可/希望考慮/転勤なし》 関東/東海/関西/中国/九州の拠点いずれかに配属します ………,給与 月給25万円〜50万円＋高額歩合給(本数達成賞＋オーダー手当) ★月給40万円スタート(※)！さらに今だけ！…
仕事内容 【施設での出入管理などの警備・受付業務等をお任せします！】★資格取得を全面サポート！★社宅や寮を完備なので、通勤も楽々です♪,対象となる方 【シニアや育児中のスタッフも活躍中！】学歴・経験・性別・年齢も一切不問。ご応募いただいた方とは全員との面接をお約束します！,勤務地 ＜茨城県ひたちなか市・水戸市・つくば市・土浦市の各現場＞ ※ご希望に応じて配属現場を決定します ※…,給与 月給24万円〜40万円 ※時間外手当は別途支給 ※上記はあくまでも最低補償額。勤務地によって異なります。…
仕事内容 【オフィスビルや商業施設など】★さまざまな施設に常駐し、施設全体やお客様の安全を守るお仕事 ☆危険な業務は一切なし！簡単な業務からスタート♪,対象となる方 【20～60代活躍中】★人物面重視の採用だから全員と面接！★年齢・学歴・職歴・ブランク全部不問★屋内だから環境も快適★将来は本部スタッフへの道も,勤務地 ＜茨城県つくば市エリアの各現場＞ ※ご希望に応じて配属現場を決定します ※現場へ直行直帰となります…,給与 月給20万円〜35万円 ※時間外手当は別途支給 ※上記はあくまでも最低補償額。勤務地によって異なります。…
仕事内容 車検の案内、軽自動車・保険等を幅広く提案していただきます。何でも相談できる存在として活躍★貸１戸建てや家賃補助もあるので安心して生活できる！,対象となる方 【大卒以上】未経験・第二新卒・UIターン歓迎！★20代～30代活躍中！定着率抜群◎,勤務地 石川県七尾市にある店舗に配属します！ ★U・Iターン歓迎！引越補助、家賃補助あり ★マイカー通勤O…,給与 月給25万円〜36万円+諸手当 ☆月収50万円以上の店長も活躍しています！ ※あなたの経験や年齢等を考慮し…
仕事内容 【入社4か月で月収40万円も可能！成約率50％以上のマニュアルも完備！】◆PanasonicやSHARPなど大手メーカーの商材のPR活動をお任せします。,対象となる方 第二新卒特別特集参画中【未経験・第二新卒歓迎／学歴・性別不問】◆35歳以下の方(※) ◆要普通免許（AT限定可）◎平均年齢28歳！男女ともに活躍中,勤務地 ★大阪・滋賀・名古屋・兵庫・広島・高松・福岡・熊本・仙台の各拠点の募集 ※勤務地は100％希望を考…,給与 ◆月給25万円〜＋運転手当＋賞与年3回(インセンティブ) ※成果に応じて随時昇給します。 ※上記金額に固…
仕事内容 【新規事業立ち上げメンバー】コスト削減ソリューション事業のセールスを担当◆マネージャー候補として活躍◆高い成約率→入社後すぐに月収37万も可能,対象となる方 【35歳までの方全員面接！事業の立ち上げを経験したり、スタートメンバーとして活躍したい方大歓迎】◆平均年齢27歳◆最短2ヶ月で昇格実績◆面接1回,勤務地 ★転勤なし ★本社または各支店、全国各拠点 ★希望の拠点で働けます 【本社/支店】 ◆本社:千代田…,給与 月給25万円以上＋毎月インセンティブ ※上記はあくまで最低保証給です。 ※経験・年齢を考慮の上、当社の…
仕事内容 ◎営業／ノルマなし・ご案内業務が中心！成約時にはインセンティブを支給します　★社宅完備！U・Iターン希望者も歓迎します！,対象となる方 《 未経験、第二新卒や2021年卒業予定の方も大歓迎 》 ◎年齢・学歴・男女不問　★採用は意欲や人柄重視で行います。 ★内定まで2週間,勤務地 福岡、北九州、飯塚、熊本、鹿児島のいずれか勤務地 ★転勤なし ★初回の配属は原則本社（福岡市）にな…,給与 【一般社員】 月給25万円〜　+　インセンティブ　となります。 【支店長候補】 月給50万円　＋実績手当 …
仕事内容 【人が賑わう♪鉄道駅ホームで活躍！】◆ホームや駅構内でのご案内・警備業務 ★経験豊富な先輩と共に、安心してスタート！難しい作業はありません！,対象となる方 【学歴・年齢不問、未経験者歓迎！】★20～50代スタートの男女が活躍中！人柄重視の採用です！雰囲気のいい職場で長く活躍したい方は、ぜひ♪,勤務地 ＜転居を伴う、転勤なし！＞ 溝の口支社、町田支社に在籍の上、 現場への直行直帰勤務となります！ ◆…,"給与 日給1万4,000円 ※時間外手当は別途支給いたします ＜モデル月収＞ 28万円（日給1万4,000円×20日勤務）…"
仕事内容 【 平均月給43.4万円★30～40代の女性が活躍中 】企業に向けて福利厚生制度を充実させるためのご提案を行います。,対象となる方 【業界未経験者歓迎★子育て中の方も多数活躍中 】社会人経験をお持ちの方(業界・業種・年数は一切不問),勤務地 【転勤なし】全国の47都道府県の支社 ＜北海道・東北＞ 北海道、青森県、岩手県、宮城県、秋田県、山…,給与 初任給 月給16万〜25万円＋諸手当(地域・能力により異なる) ※試用期間2ヶ月あり（条件変更なし） ＜＜ …
仕事内容 【好きな地でライフプランを設計したい方にオススメ！】モクモク＆コツコツ作業が中心！★スキルや経験がなくても安心して始められるお仕事です！,対象となる方 《履歴書・職務経歴書不要です！》未経験や社会デビュー・ブランクのある方も大歓迎！人付き合いが苦手でも大丈夫◎ ★年休127～190日 ★面接1回,勤務地 【転勤なし】全国40都道府県に配属！全国各地に勤務地あり！ ☆U・Iターン歓迎！勤務地により、車・…,給与 月給20万〜42万円 ※勤務地により異なります ※経験・能力などを最大限考慮して決定します ※試用期間…
仕事内容 集客に悩みを抱える企業に対して、有名なメディアやSNSを活用したWEBプロモーションをご案内★新規事業のため同じスタートラインの仲間がいます！,対象となる方 【経歴不問！完全未経験・第二新卒も歓迎！】◆高卒以上◆30歳以下 ◆「SNSをよく利用する」「広告やPRに興味がある」という方はぜひご応募ください！,勤務地 ★転勤なし/希望勤務地考慮/UIターン歓迎 ▼勤務地一覧 東京都渋谷区千駄ヶ谷5-27-5 東京都…,給与 月給23万円以上 ※給与の金額は、あなたのスキルや能力を考慮した上で、決定となります。 ▼大阪・広島…
仕事内容 【初成約までは平均半月～3ヶ月ほど】お客様に向けて、京阪神エリアのマンションを投資用としてご提案します。 ※ハンデなし！先輩の中途入社率100％,対象となる方 【未経験・第二新卒の方大歓迎！業界・職種経験も問いません！】◆要普通免許（AT限定可）◎ポストチャンス豊富！早いうちから上の役職も目指せます！,勤務地 ※転勤なし！ ※心斎橋駅から徒歩3分の好立地です！ ◆本社 大阪市中央区南船場四丁目11-17 船…,給与 ◆月給25万円〜70万円 ＋ インセンティブ ＋ 各種手当 ※年齢・経験・スキルを十分考慮の上、当社規定に…
仕事内容 【福島県内主要駅周辺オフィスビル、商業施設、金融機関等の警備】★無理のないシフト★資格取得支援あり★成果は報酬に還元★バス・トイレ付の寮完備,対象となる方 【未経験者歓迎／年齢を気にせず応募可能／学歴・年齢不問】★担当施設へ直行直帰もOK！★人柄・意欲重視の採用！応募者全員とお会いします！,勤務地 ★福島エリアの各施設または下記支社★ ※転居を伴う、転勤はありません！ ※希望を考慮の上、配属を決…,給与 月給28万円以上 ※時間外手当は別途支給 ※上記はあくまでも最低補償額。勤務地によって異なります。 ■…
仕事内容 【100％反響営業★営業デビュー歓迎】お客様のご希望のお部屋探しをお手伝い♪ ★安心のチーム制 ★研修制度も充実 ★クリアな評価制度 ★ノルマなし,対象となる方 【応募条件を満たす方は全員面接確約！】◆未経験歓迎 ◆40歳までの方 ◎学歴不問 ◎先輩の95%は未経験入社 ※複数名採用！同期と一緒に働けます！,勤務地 【★積極採用中⇒池袋店/五反田店/横浜店/新宿店】 ☆転居を伴う転勤なし ☆全店舗最寄駅より5分圏…,"給与 【各社共通】 月給24万5,000円~月給40万円 ＋ インセンティブ ＋ 賞与 ＋ 諸手当 ※経験やスキルに応じ…"
仕事内容 ＼ 最大4連勤まで！完全週休2日制です ／◎機械の点検・メンテナンスや設定業務をお任せします。★マニュアルをもとに業務を進めていただきます。,対象となる方 ★★未経験者・第二新卒も大歓迎★★ ◎学歴・年齢・経験は一切不問 ◎40歳までの方（若年層の長期キャリア形成を図るため）＼ UIJターンも大歓迎 ／,勤務地 ＼＼ 家具付きの寮を完備しています ／／ 長崎もしくは大分のいずれかの希望勤務地 諫早事業所 長崎…,"給与 月給174,000円〜400,000円 ＋ 賞与年3回 ＋ 各種手当 ※研修期間は約2週間を予定（条件変更無） ※残業…"
仕事内容 《飛込み・テレアポなしの100％反響営業》お客様の来店や問合せに対してクルマの販売や買取をお任せします。★3人に1人が契約につながっている仕組み,対象となる方 《意欲重視／未経験・第二新卒歓迎》「高収入を実現したい！」そんな方は大歓迎です！ ◆高卒以上 ★残業少なめ＆月8日以上休み,勤務地 《全国約300店舗！転勤なし！マイカー通勤OK！》 ★勤務地は希望を最大限考慮します！ ■北海道…,給与 月給22万8600円〜70万円（一律手当含む）＋インセンティブ＋賞与年2回＋諸手当 ※年齢・能力を考慮のう…
仕事内容 【新規テレアポ・飛込みなし】月12～13件Webなどから問合せがあったお客様に、最適な住まいをご案内。★社長面接1回のみで即内定！入社日相談OK,対象となる方 《応募条件》普通自動車免許(AT可)をお持ちの方　◎トップクラスの会社でノウハウを学びたい方大歓迎！まっさらな未経験者もイチから育てます★,勤務地 【埼玉県所沢市、川口市のいずれか】 ※どちらの店舗もマイカー通勤OK(大型駐車場完備) ※勤務地は…,給与 【25歳以上の方】月給25万円以上＋退職金積立(2万円)＋賞与 【24歳の方】月給25万円以上＋賞与 【24歳未…
仕事内容 個人宅への宅配やルート配送をお任せします。★軽自動車（AT車）で運ぶので安心★車両のレンタルはもちろん、持ち込みもOK！★3密回避！1人でおシゴト,対象となる方 【未経験大歓迎／学歴・ブランク不問】■要普免(AT可) ★これまでの経験は一切問いません！ ★社会人デビューも応援 ★正社員登用制度あり,勤務地 直行直帰OK 宮城県仙台市 東京都台東区 東京都墨田区 東京都江東区 東京都大田区 東京都世田谷区…,給与 完全出来高制(1件あたり案件150円〜240円) ★月収55万円以上のスタッフ8割以上 ☆収入満足度90％以上 …
仕事内容 【テレアポ・飛び込みナシ】お問い合わせに対応する完全反響型の戸建住宅営業。希望や適性に応じて、分譲住宅／注文住宅のいずれかをお任せします。,対象となる方 【未経験大歓迎】★前職・経験一切不問 ●要普免 ☆何らかの営業経験、接客・販売の経験がある方は大歓迎 ☆住宅や不動産業界の経験があれば尚可,"勤務地 ★全国＆希望を考慮 [宮城県]仙台 [福島県]郡山,いわき,白河 [茨城県]牛久,水戸,守谷 [栃…",給与 【月給】20万円〜30万円 ※当初6ヵ月間は契約社員(給与は同額)その後、正社員として雇用 【入社時月収例…
仕事内容 ★全国TVCMで高い認知度！パナソニック正規認定特約店★ 蓄電池、太陽光発電、オール電化など、創エネと省エネに関する商品の提案業務です。,対象となる方 【 沖縄で稼ぎたい仲間を募集 】▼社会人デビューも、初めての営業職へのチャレンジもOK▼ 学歴不問＆年齢不問！意欲や人柄を重視した採用です,勤務地 沖縄支店／沖縄県那覇市字大道202 ※U・Iターン歓迎,給与 月給27万円〜89万円 ※上記に加え、歩合給、賞与（年4回）、賞金（年4回）が支給されます。 ※固定残業代…
仕事内容 収入が大切！という方に見てほしい案件・社宅完備の案件多数！製造工場で部品の組立/検品/梱包/在庫管理等を担当！,対象となる方 《履歴書・職務経歴書不要です！》未経験や社会人デビュー、ブランクのある方も大歓迎！未経験から「がっつり稼ぎたい」を応援します★,勤務地 【転勤なし】全国40都道府県に配属！全国各地に勤務地あり！ ☆U・Iターン歓迎！勤務地により、車・…,給与 月給20万〜42万円 ※勤務地により異なります ※経験・能力などを最大限考慮して決定します ※試用期間…
仕事内容 【100%反響スタイル＆ノルマなし】ご来店されたお客さまに「欲しいクルマ」を伺い、約5万台の在庫からピッタリなクルマをご提案する仕事です。,対象となる方 【経験・知識不問／第二新卒歓迎／未経験歓迎】◆40歳以下★収入UPしたい方★プライベートも大切にしたい方★好きな街で働きたい方,勤務地 全国約300店舗/転勤なし/マイカー通勤OK 勤務地は希望を最大限考慮 ■北海道 ■岩手県/宮城県…,給与 月給22万8600円〜70万円(一律手当含む)＋インセンティブ＋賞与年2回+諸手当 ※年齢・能力を考慮のうえ、…
仕事内容 【ノルマやテレアポなしの完全反響】クルマの販売や買取をお任せします。 ☆基礎から学べる教育体制 ☆お客様の3人に1人が契約に繋がっている仕組み♪,対象となる方 【人柄重視♪未経験・第二新卒・既卒歓迎！】☆70％が未経験スタート ☆残業少なめ ☆充実の福利厚生,勤務地 【全国約300店舗！転勤なし！マイカー通勤OK！】 ★勤務地は希望を最大限考慮します！ ■北海道札…,給与 月給22万8600円〜70万円（一律手当含む）＋インセンティブ＋賞与年2回＋諸手当 ※年齢・能力を考慮のう…
仕事内容 《時価総額10兆円を目指す成長企業で活躍！》 ◆圧倒的なスピードで伸長するFCビジネスをドライブさせる営業活動及びマネジメントをお任せします。,対象となる方 《中途半場な覚悟の方は正直大変です！本気で世界を獲りたい方募集》◆法人営業経験 ◆トップセールスの経験 ◆営業力に絶対の自信がある方,勤務地 ■本社：東京都港区六本木1-4-5アークヒルズサウスタワー16階 【アクセス】 六本木一丁目駅より…,給与 年俸600万円〜2000万円 ※能力・スキル・経験を考慮致します。
仕事内容 ★TVCMで高い認知度！パナソニック正規認定特約店★ 蓄電池、太陽光発電、オール電化など、創エネと省エネに関する商品の提案業務です。,対象となる方 ▼社会人デビューも、初めての営業職へのチャレンジもOK▼　学歴不問＆年齢不問！意欲や人柄を重視した採用です。,勤務地 九州・沖縄・大阪・東京・千葉・北海道の各支店 ※転勤なし！勤務地の希望を考慮 福岡本社／福岡県福岡…,給与 月給27万〜89万円 ※上記に加え、歩合給、賞与（年4回）、賞金（年4回）が支給されます。 ※固定残業代含…
仕事内容 《AWS/コンテナ/Infrastructure as Code等の注目トレンド案件多数！》◆スキルや志向に応じて開発系orインフラ系の案件で活躍！※自社内開発あり,対象となる方 《複数名採用予定！》◎学歴不問 ◎ITエンジニアとしての何らかの実務経験（システム・インフラ不問）★転職回数やブランク等も不問です！,勤務地 東京都、埼玉県、神奈川県、千葉県内のプロジェクト先 ※希望、お住まいを考慮の上、決定します。 ※転…,給与 月給30万円〜　＋　賞与年3回 ※入社時点で、前職時の給与額を保証します！ ※経験・スキルなどを考慮の…
仕事内容 【あなたの”夢”を応援！ぜひ目標を教えてください！】◆ストレッチ専門店でトレーナーとして施術をお任せします◆手厚い研修あり！未経験でも安心♪,対象となる方 【未経験・第二新卒歓迎】◆スポーツ好きの20代が活躍中！◆営業や接客の経験をお持ちの方を歓迎します！目標に向かって努力する先輩が多数活躍中♪,勤務地 【原則転勤無し】 東京・千葉・神奈川・大阪のいずれかの店舗での勤務。すべて最寄り駅から徒歩10分圏…,"給与 月給 226,000円〜290,000円 +各種手当 ※昇給年4回！アナタの頑張りを随時評価します♪ ※月給には固定…"
仕事内容 【河合塾マナビスの生徒さん・保護者へより良い学びを提供！】 ◆校舎運営と併せ、現役高校生の進路指導に関連して最適なカリキュラムの受講を提案。,対象となる方 《20~30代社員多数活躍中》 ◆社会人経験3年以上　◆何かしらのマネジメント経験やリーダー経験、店舗運営経験がある方　◆基本的なPCスキル,勤務地 【東京・神奈川・千葉・埼玉・茨城・兵庫・福岡の直営各校舎】 ◇東京都 押上校／西葛西校／亀戸校／駒…,給与 ◇月給23万円〜月給32万円 ※経験・能力を考慮した上、当社規定により優遇いたします。 ※見込み時間外手…
仕事内容 《ノルマなし》ご来店されたお客さまへのカウンセリングやお手入れ、ミュゼコスメのご提案をお任せ★約3カ月の研修あり★美容の資格も取得できる,対象となる方 《美容業界未経験も歓迎★平均年齢27歳★同期入社多数♪》◆29歳までの方(※)「人と話をすることが好き」「美容やコスメが好き」という方は歓迎！,勤務地 ◎会社都合による転勤はありません◎ ★あなたの希望エリアで働けます。 ★全47都道府県に店舗あり！…,給与 【1】月給24万円以上 東京/神奈川/埼玉/千葉/茨城/静岡/山梨/ 岐阜/愛知/三重/滋賀/大阪/京都/奈良/兵庫…
仕事内容 【「外勤」or「内勤」の選べる営業スタイル！フリーワーク／WEB商談／ジョブチェンジなど自由度も◎】大手保険会社等のサービス提案をお任せ,対象となる方 【履歴書は一切不要！平均年齢31歳！20代・30代が多数活躍中】■営業経験をお持ちの方(業界不問)はぜひ！ ☆保険営業の経験をお持ちの方は優遇します,勤務地 【転勤・出張なし！】 ★オシャレなオフィス「なんばスカイオ」で働ける！ ■大阪府大阪市中央区難波5…,給与 ■月給25万円〜 + インセンティブ ★社員の平均月収は35万円以上！ ※経験・年齢を考慮のうえ、 　当社…
仕事内容 【事業主さま向けに、HPなどのWEBサービスを提案】★入社してから年収が2倍以上アップした先輩が多数！安心の研修＆マニュアルで成長！,対象となる方 ＼男女不問！在学中・既卒者もぜひ！／【未経験・第二新卒歓迎】◆35歳以下（※）◆高卒以上★人柄重視のため、特別な経験・スキルは必要ありません！,勤務地 【東京(港区)・大阪(中央区)・福岡(福岡市)のいずれか】 ※転勤なし ◆東京都港区芝大門1-3-…,給与 【東京】 月給26万5000円以上＋歩合給＋報奨金 【大阪・福岡】 月給25万円以上＋歩合給＋報奨金 ※歩合…
仕事内容 【裁量大きく、自由度高く活躍！】人材コーディネーターとして新規クライアントの拡大と登録スタッフ増員をお任せしていきます。,対象となる方 【人材業界経験をお持ちの方をとことん優遇！】※求人広告営業、人材派遣、人材紹介、人材コンサルティング等の経験をお持ちの方は優遇いたします。,勤務地 【東京・大阪・北海道・宮城・福岡のいずれかで勤務】 ★転勤なし！ 【本社】 東京都港区西新橋1-6…,"給与 月給／30万円〜 ＋ インセンティブ ★""前職の給与以上""を保証します。 　そこに経験・能力等を考慮し加給…"
仕事内容 【 営業なのに！販売や提案は無し 】あなたの仕事は商品説明だけ！　★ご紹介する商材は、省エネプランやエコ商品、電気自動車、リノベーションなど,対象となる方 【営業未経験、社会人デビュー、正社員デビューも大歓迎】◎要運転免許　◎男女不問　◎45歳までの方（※）　★イチから学べる教育研修あり,勤務地 本社（福岡市中央区）または福岡市早良区、福岡市博多区 ★転勤なし ★マイカー通勤OK（福岡西営業所…,給与 月給25万円　+　インセンティブ ※待遇条件の詳細については、面接などでご相談ください。 ※有資格者に…
仕事内容 【修理台数がインセンに／年収800万円以上も可能！】◇キズの修復やパーツ交換 ◇作業手順やクルマの構造など、すべて入社後に学べます,対象となる方 【未経験者・第二新卒歓迎！】◇経歴・学歴・年齢一切不問！◇『収入アップを叶えたい』『手に職つけたい』そんな方はぜひご応募ください,勤務地 【転勤なし】 ★全国募集 ★マイカー通勤OK ★U・Iターン歓迎 ■東京都多摩市/千葉県印旛郡酒々…,"給与 【31歳以上】 月給245,500円以上＋インセン（月平均10〜20万円）＋諸手当 ※スキル・経験等を考慮し、決…"
仕事内容 【入社後はイチから丁寧にレクチャー！】クルマの名義変更手続き・届け出などの事務作業をお任せします。★マニュアル完備！難しい作業はありません♪,対象となる方 【未経験・第二新卒歓迎！】＼学歴・性別・年齢不問／ オフィスワークに興味がある方歓迎！★90％以上が未経験スタート ★既卒・社会人デビューもOK,勤務地 ☆転勤なし！全国募集＆勤務地は希望を考慮します♪ ☆オープニング募集あり！ ☆マイカー通勤OK♪…,"給与 【東京・埼玉・千葉】 月給233,600円以上 ＋ 賞与年2回 ※経験・能力等を考慮し決定いたします。 ※固定…"
仕事内容 【移動範囲は1～2時間の短距離中心！】配送ドライバーとして、ビッグモーターで修理・整備するクルマの引き取り／納車などをお任せします。,対象となる方 【未経験・第二新卒歓迎／学歴不問！】 ＼ブランク・転職回数も一切問いません／ ■要普通免許（AT限定可）　☆夜勤なし ☆月8～10日休み,勤務地 ★転勤なし ★全国の各拠点で大募集（鈑金工場併設店舗） ★マイカー通勤OK！ ★U・Iターン歓迎♪…,給与 月給27万8600円〜40万円 ＋ 賞与年2回 ＋ 諸手当 ※スキル・経験等を考慮し、決定いたします。 ※配送手…
仕事内容 【100％内勤です♪】クルマのキズや凹みの修理に関する受付やデータ入力、電話対応などをお任せ！※クルマの知識は働きながら得られるので安心♪,対象となる方 【未経験者歓迎♪】「クルマに詳しくない」「事務は初めて」な方の挑戦もOK！☆第二新卒歓迎！☆20～30代の女性活躍中！☆産・育休取得実績も多数！,勤務地 ★転勤なし ★全国の各拠点で大募集（鈑金工場併設店舗） ★マイカー通勤OK！ ★U・Iターン歓迎♪…,給与 【東京・千葉・埼玉エリア】 ■月給25万3600円〜38万5200円 ＋ 業績給 ＋ 賞与年2回 【上記以外のエリア…
仕事内容 【100％反響型★テレアポ＆飛び込みナシ】目黒区・世田谷区等の高級物件に特化！住まいを「売りたい」or「購入したい」というお客様をサポート,対象となる方 【未経験～経験者まで幅広く歓迎／学歴不問】◆要普免(AT可)★“育てること”を前提にした採用★社員定着率抜群！「働き方を変えたい」経験者もぜひ！,勤務地 ★転勤なし ★東急東横線『学芸大学』駅 徒歩8分！ 【本社】東京都目黒区碑文谷5-6-9　サンワホ…,給与 【経験者】 月給28万円以上＋諸手当(宅建手当有り)＋インセンティブ 【未経験者】 月給25万円以上＋諸手…
